,activity_type,acc_x,acc_y,acc_z
770,Still,984,-23,37
771,Still,1002,-25,40
772,Still,997,-25,37
773,Still,997,-24,38
774,Still,996,-25,38
775,Still,997,-24,38
776,Still,997,-24,38
777,Still,997,-24,38
778,Still,996,-24,38
779,Still,997,-24,39
780,Still,996,-24,38
781,Still,996,-24,38
782,Still,997,-24,38
783,Still,997,-24,38
784,Still,996,-24,38
785,Still,996,-24,38
786,Still,997,-24,39
787,Still,997,-24,38
788,Still,997,-24,38
789,Still,997,-24,38
790,Still,996,-24,39
791,Still,996,-24,38
792,Still,996,-24,38
793,Still,997,-25,38
794,Still,997,-25,38
795,Still,997,-25,38
796,Still,996,-23,38
797,Still,997,-24,38
798,Still,997,-24,38
799,Still,996,-25,38
800,Still,997,-24,38
801,Still,996,-25,37
802,Still,997,-24,39
803,Still,997,-24,39
804,Still,997,-25,38
805,Still,996,-25,38
806,Still,997,-24,38
807,Still,997,-24,38
808,Still,997,-24,38
809,Still,997,-24,38
810,Still,997,-24,38
811,Still,996,-25,38
812,Still,996,-25,38
813,Still,997,-24,38
814,Still,997,-24,39
815,Still,996,-25,38
816,Still,996,-25,38
817,Still,996,-24,38
818,Still,997,-24,38
819,Still,996,-25,38
820,Still,996,-25,38
821,Still,996,-24,38
822,Still,996,-24,38
823,Still,997,-24,38
824,Still,997,-24,38
825,Still,997,-24,38
826,Still,996,-25,38
827,Still,997,-25,38
828,Still,996,-24,38
829,Still,996,-24,38
830,Still,997,-25,38
831,Still,997,-24,38
832,Still,996,-24,38
833,Still,997,-24,38
834,Still,997,-24,38
835,Still,996,-24,38
836,Still,996,-24,38
837,Still,996,-25,38
838,Still,996,-25,38
839,Still,996,-25,39
840,Still,997,-24,38
841,Still,997,-24,38
842,Still,997,-24,38
843,Still,997,-24,38
844,Still,997,-24,38
845,Still,997,-24,38
846,Still,996,-24,38
847,Still,996,-24,38
848,Still,997,-24,38
849,Still,996,-24,38
850,Still,996,-24,38
851,Still,996,-24,38
852,Still,996,-24,37
853,Still,997,-24,38
854,Still,996,-24,39
855,Still,996,-24,38
856,Still,996,-24,38
857,Still,997,-24,39
858,Still,996,-25,38
859,Still,996,-24,38
860,Still,996,-24,38
861,Still,997,-24,38
